Date Of Death Year,Date Of Death Month,HHSRegion,AgeGroup,AllCause,NaturalCause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)",AnalysisDate,Note,flag_allcause,flag_natcause,flag_sept,flag_neopl,flag_diab,flag_alz,flag_inflpn,flag_clrd,flag_otherresp,flag_nephr,flag_otherunk,flag_hd,flag_stroke,flag_cov19mcod,flag_cov19ucod
2021,3,5,55-64 years,"5,657","5,110",103,"1,554",219,15,46,222,74,90,64,"1,227",187,370,314,08/25/2021,,,,,,,,,,,,,,,,
2021,3,5,65-74 years,"9,024","8,690",137,"2,583",391,120,97,557,140,168,72,"1,914",384,638,533,08/25/2021,,,,,,,,,,,,,,,,
2021,3,5,75-84 years,"10,603","10,269",173,"2,295",362,452,147,647,195,246,87,"2,307",607,718,550,08/25/2021,,,,,,,,,,,,,,,,
2021,3,5,85 years and over,"12,674","12,254",148,"1,430",291,978,179,494,165,267,178,"3,454","1,014",655,441,08/25/2021,,,,,,,,,,,,,,,,
2021,3,6,0-4 years,322,281,,,0,0,,,,,43,,,0,0,08/25/2021,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,
2021,3,6,15-24 years,476,98,,12,0,0,,,,,23,,,,,08/25/2021,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
2021,3,6,25-34 years,895,343,,41,13,0,,,,,38,50,12,41,37,08/25/2021,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
2021,3,6,35-44 years,"1,402",891,14,132,46,,10,,,16,32,193,28,132,118,08/25/2021,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,,
2021,3,6,45-54 years,"2,412","1,953",27,374,102,,28,24,13,43,45,430,96,309,292,08/25/2021,,,,,,,Suppressed (counts 1-9),,,,,,,,,
2021,3,6,5-14 years,91,40,,,0,0,0,,,0,,,,,,08/25/2021,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
2021,3,6,55-64 years,"5,257","4,838",94,"1,180",251,19,49,200,51,84,62,"1,069",199,706,640,08/25/2021,,,,,,,,,,,,,,,,
2021,3,6,65-74 years,"7,545","7,267",126,"1,784",331,105,97,391,104,132,42,"1,677",314,"1,030",923,08/25/2021,,,,,,,,,,,,,,,,
2021,3,6,75-84 years,"7,918","7,666",142,"1,499",265,409,93,474,132,173,50,"1,745",463,825,722,08/25/2021,,,,,,,,,,,,,,,,
2021,3,6,85 years and over,"7,864","7,636",96,805,170,795,99,347,92,143,51,"2,107",554,584,463,08/25/2021,,,,,,,,,,,,,,,,
2021,3,7,0-4 years,115,92,,,0,0,,,,0,16,,,,,08/25/2021,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
2021,3,7,15-24 years,128,25,,,0,0,0,0,,0,,,,,,08/25/2021,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
2021,3,7,25-34 years,257,75,,12,,0,,0,,,,10,,,,08/25/2021,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
2021,3,7,35-44 years,380,215,,37,10,0,,,,,,36,13,11,,08/25/2021,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9)
2021,3,7,45-54 years,645,523,,104,17,0,,18,,12,12,130,19,34,33,08/25/2021,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,,
2021,3,7,5-14 years,31,11,0,,0,0,0,0,0,0,,,,0,0,08/25/2021,,,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,
2021,3,7,55-64 years,"1,611","1,477",30,430,48,,15,73,25,26,19,353,57,97,81,08/25/2021,,,,,,,Suppressed (counts 1-9),,,,,,,,,
2021,3,7,65-74 years,"2,548","2,449",36,728,101,30,28,171,50,54,29,537,90,179,149,08/25/2021,,,,,,,,,,,,,,,,
2021,3,7,75-84 years,"2,935","2,850",34,608,88,112,41,189,91,60,26,628,149,190,155,08/25/2021,,,,,,,,,,,,,,,,
2021,3,7,85 years and over,"3,465","3,341",38,403,73,252,54,140,53,69,44,972,231,157,96,08/25/2021,,,,,,,,,,,,,,,,
2021,3,8,0-4 years,80,71,,0,0,0,0,0,0,,,,0,0,0,08/25/2021,,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,
2021,3,8,15-24 years,129,19,,0,,0,0,,0,0,,,,,,08/25/2021,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
2021,3,8,25-34 years,227,82,,,,0,0,,,0,,17,,,,08/25/2021,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
2021,3,8,35-44 years,376,203,,29,,0,,,,,,32,,15,13,08/25/2021,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
2021,3,8,45-54 years,513,391,,85,13,0,,11,,,,95,19,28,22,08/25/2021,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
2021,3,8,5-14 years,19,,,,0,0,0,0,0,0,,0,0,0,0,08/25/2021,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),,,,
2021,3,8,55-64 years,"1,038",919,11,252,53,,,45,,,,196,28,71,61,08/25/2021,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
2021,3,8,65-74 years,"1,561","1,453",18,396,65,23,13,103,26,21,,283,59,121,103,08/25/2021,,,,,,,,,,,,Suppressed (counts 1-9),,,,
2021,3,8,75-84 years,"1,982","1,882",18,437,68,108,17,139,38,28,,396,101,102,74,08/25/2021,,,,,,,,,,,,Suppressed (counts 1-9),,,,
2021,3,8,85 years and over,"2,381","2,260",13,287,41,220,28,108,38,44,27,593,154,107,70,08/25/2021,,,,,,,,,,,,,,,,
2021,3,9,0-4 years,219,199,,,0,0,0,0,0,,28,,,,0,08/25/2021,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),
2021,3,9,15-24 years,487,130,0,24,,0,0,,,0,39,14,,,,08/25/2021,,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
2021,3,9,25-34 years,935,359,,63,14,0,,,,,62,35,,43,30,08/25/2021,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
2021,3,9,35-44 years,"1,285",783,,147,31,0,12,10,,13,65,123,30,77,60,08/25/2021,,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,,,,,
2021,3,9,45-54 years,"2,234","1,820",15,410,110,,20,27,12,25,92,329,72,266,244,08/25/2021,,,,,,,Suppressed (counts 1-9),,,,,,,,,
2021,3,9,5-14 years,66,33,0,,,0,0,0,,0,,,,,,08/25/2021,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
2021,3,9,55-64 years,"4,674","4,230",43,"1,078",235,13,55,119,29,59,104,888,198,568,521,08/25/2021,,,,,,,,,,,,,,,,
2021,3,9,65-74 years,"7,323","7,027",51,"1,915",348,124,121,315,79,103,87,"1,548",352,790,719,08/25/2021,,,,,,,,,,,,,,,,
2021,3,9,75-84 years,"8,746","8,525",58,"1,945",354,465,146,476,115,140,43,"1,973",543,725,615,08/25/2021,,,,,,,,,,,,,,,,
2021,3,9,85 years and over,"10,550","10,299",45,"1,226",268,"1,188",196,475,104,179,67,"3,020",875,585,423,08/25/2021,,,,,,,,,,,,,,,,
2021,3,10,0-4 years,65,61,0,,0,0,0,0,,0,12,0,0,0,0,08/25/2021,,,,,Suppressed (counts 1-9),,,,,Suppressed (counts 1-9),,,,,,
2021,3,10,15-24 years,131,29,0,,,0,0,,0,0,,,,,,08/25/2021,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
2021,3,10,25-34 years,215,78,0,10,,0,,,,,,14,0,,,08/25/2021,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
2021,3,10,35-44 years,331,197,,47,,0,,,,,12,30,,12,10,08/25/2021,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
2021,3,10,45-54 years,591,454,,117,24,,,,,,15,91,18,26,23,08/25/2021,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
2021,3,10,5-14 years,14,,0,,0,0,0,0,0,0,0,0,,0,0,08/25/2021,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,,,,,Suppressed (counts 1-9),,
2021,3,10,55-64 years,"1,298","1,155",,373,47,,,57,21,,25,199,42,49,39,08/25/2021,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,
2021,3,10,65-74 years,"2,150","2,026",10,641,95,31,10,134,29,13,35,428,85,86,65,08/25/2021,,,,,,,,,,,,,,,,
2021,3,10,75-84 years,"2,615","2,507",26,624,97,158,18,163,50,22,22,512,153,114,92,08/25/2021,,,,,,,,,,,,,,,,
2021,3,10,85 years and over,"3,130","2,980",23,408,66,332,23,95,42,27,44,794,229,116,87,08/25/2021,,,,,,,,,,,,,,,,
2021,4,1,0-4 years,59,55,0,,0,0,0,0,0,,,,0,0,0,08/25/2021,,,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,
2021,4,1,15-24 years,88,22,0,,,0,0,0,0,0,,,0,,0,08/25/2021,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),
2021,4,1,25-34 years,226,90,,13,,0,0,,0,0,10,14,,12,11,08/25/2021,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,Suppressed (counts 1-9),,
2021,4,1,35-44 years,351,170,,40,,0,,,0,,13,25,,10,,08/25/2021,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,Suppressed (counts 1-9)
2021,4,1,45-54 years,577,432,,100,17,0,,,,,11,92,11,46,43,08/25/2021,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
2021,4,1,5-14 years,11,10,0,,0,0,0,0,0,0,,,0,,,08/25/2021,,,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9)
2021,4,1,55-64 years,"1,375","1,215",14,390,57,,12,49,15,17,24,226,34,116,106,08/25/2021,,,,,,,Suppressed (counts 1-9),,,,,,,,,
2021,4,1,65-74 years,"2,078","1,969",25,659,77,24,17,104,41,28,13,387,56,156,138,08/25/2021,,,,,,,,,,,,,,,,
2021,4,1,75-84 years,"2,601","2,507",48,646,60,78,24,126,55,72,20,521,132,138,115,08/25/2021,,,,,,,,,,,,,,,,
2021,4,1,85 years and over,"3,678","3,530",35,457,57,201,46,121,55,92,50,"1,004",204,141,112,08/25/2021,,,,,,,,,,,,,,,,
2021,4,2,0-4 years,103,97,,0,0,0,,,0,0,15,,0,,0,08/25/2021,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),
2021,4,2,15-24 years,130,44,0,,,0,0,0,0,0,10,,,,,08/25/2021,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
2021,4,2,25-34 years,379,195,,22,,0,,0,,,73,16,,23,18,08/25/2021,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
2021,4,2,35-44 years,640,435,,76,13,0,,,,,106,44,10,70,66,08/25/2021,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
2021,4,2,45-54 years,"1,261","1,073",14,207,28,0,13,14,,,101,200,36,227,214,08/25/2021,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
2021,4,2,5-14 years,35,26,0,,0,0,0,,,0,,,0,,,08/25/2021,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9)
2021,4,2,55-64 years,"2,903","2,691",45,634,94,,48,67,39,35,156,518,82,543,510,08/25/2021,,,,,,,Suppressed (counts 1-9),,,,,,,,,
2021,4,2,65-74 years,"4,102","3,981",77,"1,099",120,31,65,121,70,80,67,822,141,708,633,08/25/2021,,,,,,,,,,,,,,,,
2021,4,2,75-84 years,"4,988","4,886",95,"1,093",138,106,100,222,99,97,48,"1,084",231,699,644,08/25/2021,,,,,,,,,,,,,,,,
2021,4,2,85 years and over,"6,615","6,486",77,704,102,328,145,213,134,125,112,"2,000",373,707,591,08/25/2021,,,,,,,,,,,,,,,,
2021,4,3,0-4 years,184,171,,,0,0,,0,,0,32,,,0,0,08/25/2021,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,
2021,4,3,15-24 years,305,110,,10,,0,,,,0,55,,,,,08/25/2021,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
2021,4,3,25-34 years,594,272,,23,10,0,,,,,103,32,,28,23,08/25/2021,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
2021,4,3,35-44 years,923,558,,81,14,0,,,,,132,94,19,76,67,08/25/2021,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
2021,4,3,45-54 years,"1,574","1,266",18,271,54,0,10,21,,23,112,256,41,195,178,08/25/2021,,,,,,,,,,Suppressed (counts 1-9),,,,,,
2021,4,3,5-14 years,44,27,,,0,0,0,,,0,,,,,,08/25/2021,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
2021,4,3,55-64 years,"3,623","3,288",61,923,126,,30,142,29,57,115,658,123,457,405,08/25/2021,,,,,,,Suppressed (counts 1-9),,,,,,,,,
2021,4,3,65-74 years,"5,539","5,282",85,"1,389",235,47,67,266,81,101,75,"1,178",231,622,546,08/25/2021,,,,,,,,,,,,,,,,
2021,4,3,75-84 years,"6,253","6,047",94,"1,324",194,191,77,308,111,128,69,"1,406",373,590,499,08/25/2021,,,,,,,,,,,,,,,,
2021,4,3,85 years and over,"7,328","7,113",95,905,161,438,83,269,104,162,94,"1,941",538,545,434,08/25/2021,,,,,,,,,,,,,,,,
2021,4,4,0-4 years,480,405,,,0,0,,,,,82,,,,,08/25/2021,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
2021,4,4,15-24 years,730,165,,14,,0,,,0,,34,22,,10,,08/25/2021,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,Suppressed (counts 1-9)
2021,4,4,25-34 years,"1,490",533,13,56,24,0,,,,,124,78,,43,33,08/25/2021,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
2021,4,4,35-44 years,"2,174","1,227",26,187,60,0,11,18,12,21,140,247,42,118,107,08/25/2021,,,,,,,,,,,,,,,,
2021,4,4,45-54 years,"3,686","2,868",56,594,124,,20,70,41,63,161,662,116,329,298,08/25/2021,,,,,,,Suppressed (counts 1-9),,,,,,,,,
2021,4,4,5-14 years,100,37,,11,0,0,0,,0,0,,,,,0,08/25/2021,,,,Suppressed (counts 1-9),,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),
2021,4,4,55-64 years,"7,898","7,161",126,"1,911",282,27,79,345,88,110,171,"1,691",286,707,632,08/25/2021,,,,,,,,,,,,,,,,
2021,4,4,65-74 years,"11,860","11,341",198,"3,108",445,160,159,751,187,233,137,"2,464",548,987,880,08/25/2021,,,,,,,,,,,,,,,,
2021,4,4,75-84 years,"13,336","12,870",176,"2,886",417,575,182,871,259,257,134,"2,853",763,995,818,08/25/2021,,,,,,,,,,,,,,,,
2021,4,4,85 years and over,"13,078","12,598",123,"1,565",246,"1,030",193,596,183,241,213,"3,308","1,150",660,504,08/25/2021,,,,,,,,,,,,,,,,
2021,4,5,0-4 years,318,282,,,0,0,0,,,0,38,,,,,08/25/2021,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
2021,4,5,15-24 years,490,120,0,14,,0,0,,,0,36,17,,10,,08/25/2021,,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9)
2021,4,5,25-34 years,"1,073",388,,46,18,0,,,,,79,40,10,69,57,08/25/2021,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
2021,4,5,35-44 years,"1,478",865,,138,31,,,,,11,91,158,25,126,116,08/25/2021,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,,
2021,4,5,45-54 years,"2,618","2,066",34,448,93,0,26,41,16,42,106,399,58,316,292,08/25/2021,,,,,,,,,,,,,,,,
2021,4,5,5-14 years,72,45,0,14,0,0,,0,,0,,,0,,,08/25/2021,,,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9)
2021,4,5,55-64 years,"6,085","5,522",83,"1,497",261,,47,246,57,74,121,"1,211",181,737,654,08/25/2021,,,,,,,Suppressed (counts 1-9),,,,,,,,,
2021,4,5,65-74 years,"9,137","8,796",124,"2,480",349,93,85,564,157,173,96,"1,834",403,936,827,08/25/2021,,,,,,,,,,,,,,,,
2021,4,5,75-84 years,"10,378","10,076",108,"2,298",370,403,114,594,184,228,101,"2,198",552,931,779,08/25/2021,,,,,,,,,,,,,,,,
2021,4,5,85 years and over,"12,238","11,811",128,"1,390",246,907,160,476,146,238,158,"3,456","1,006",738,574,08/25/2021,,,,,,,,,,,,,,,,
2021,4,6,0-4 years,330,288,,,0,0,,0,,0,63,,,,,08/25/2021,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
2021,4,6,15-24 years,504,113,0,23,,0,,,,0,28,,,11,10,08/25/2021,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,
2021,4,6,25-34 years,864,362,,41,14,0,,,,,66,55,,37,31,08/25/2021,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
2021,4,6,35-44 years,"1,299",785,10,141,33,0,14,,10,11,61,158,35,92,82,08/25/2021,,,,,,,,,Suppressed (counts 1-9),,,,,,,
2021,4,6,45-54 years,"2,186","1,795",34,371,80,,28,39,18,33,63,417,84,236,223,08/25/2021,,,,,,,Suppressed (counts 1-9),,,,,,,,,
2021,4,6,5-14 years,72,35,,10,,0,0,,,0,,,,0,0,08/25/2021,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,
2021,4,6,55-64 years,"4,703","4,286",81,"1,150",201,17,43,180,54,73,85,"1,006",203,384,348,08/25/2021,,,,,,,,,,,,,,,,
2021,4,6,65-74 years,"6,840","6,546",133,"1,749",305,110,83,338,103,146,68,"1,570",299,506,437,08/25/2021,,,,,,,,,,,,,,,,
2021,4,6,75-84 years,"7,109","6,861",115,"1,412",221,343,96,448,128,146,40,"1,716",445,393,303,08/25/2021,,,,,,,,,,,,,,,,
2021,4,6,85 years and over,"7,209","6,971",90,771,161,767,94,324,102,146,59,"2,099",539,275,201,08/25/2021,,,,,,,,,,,,,,,,
2021,4,7,0-4 years,87,68,0,,0,0,0,0,,0,,,0,0,0,08/25/2021,,,,,Suppressed (counts 1-9),,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,
2021,4,7,15-24 years,150,31,,,0,0,,,0,0,,,0,,,08/25/2021,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9)
2021,4,7,25-34 years,274,86,,12,,0,0,,0,,10,21,,,,08/25/2021,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
2021,5,1,0-4 years,47,43,0,,0,0,0,0,0,0,,,,0,0,08/25/2021,,,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,
2021,4,7,35-44 years,379,235,,36,,,,,,,15,42,,10,,08/25/2021,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,Suppressed (counts 1-9)
2021,4,7,45-54 years,659,524,10,129,22,0,,20,10,,15,150,19,29,23,08/25/2021,,,,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,
2021,4,7,5-14 years,21,,0,,,0,0,,0,0,,0,0,0,0,08/25/2021,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,
2021,4,7,55-64 years,"1,613","1,477",24,425,68,,16,83,19,22,27,347,61,87,75,08/25/2021,,,,,,,Suppressed (counts 1-9),,,,,,,,,
2021,4,7,65-74 years,"2,466","2,368",33,747,88,34,20,158,45,46,22,515,122,111,91,08/25/2021,,,,,,,,,,,,,,,,
2021,4,7,75-84 years,"2,821","2,720",33,632,101,102,37,193,61,68,21,650,139,122,98,08/25/2021,,,,,,,,,,,,,,,,
2021,4,7,85 years and over,"3,417","3,299",28,406,70,249,45,152,49,78,44,982,226,107,73,08/25/2021,,,,,,,,,,,,,,,,
2021,4,8,0-4 years,70,59,,0,0,0,0,0,0,0,,,0,0,0,08/25/2021,,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,
